lot_code,designation_normalized,designation_pdf,designation_db,unite_pdf,unite_db,quantite_pdf,quantite_db,total_ht_pdf,base_ht_db,ecart_base_ht,present_pdf,present_db,is_pm
LOT 1,"ABONNEMENT, MENSUALITE CONCESSIONNAIRES","Abonnement, mensualité concessionnaires","Abonnement, mensualité concessionnaires",ENS,FORFAIT,1.0,1.0,2507000.0,2507000.0,0.0,True,True,0
LOT 1,ACIER,Acier,Acier,KG,KG,26762.4,436.0,36932112.0,601680.0,-36330432.0,True,True,0
LOT 1,ACIER (AMORCES POTEAUX),,Acier (Amorces poteaux),,KG,0.0,198.0,0.0,273240.0,273240.0,False,True,0
LOT 1,ACIER (CHAINAGES RDC),,Acier (Chainages RDC),,KG,0.0,1113.6,0.0,1536768.0,1536768.0,False,True,0
LOT 1,ACIER (DALLAGE SOL - ANNEXE),,Acier (Dallage sol - Annexe),,KG,0.0,1818.0,0.0,2508840.0,2508840.0,False,True,0
LOT 1,ACIER (DALLAGE SOL),,Acier (Dallage sol),,KG,0.0,2324.0,0.0,3207120.0,3207120.0,False,True,0
LOT 1,ACIER (ESCALIER RDC),,Acier (Escalier RDC),,KG,0.0,2227.2,0.0,7939968.0,7939968.0,False,True,0
LOT 1,ACIER (LINTEAUX RDC),,Acier (Linteaux RDC),,KG,0.0,331.8,0.0,457884.0,457884.0,False,True,0
LOT 1,ACIER (LONGRINES),,Acier (Longrines),,KG,0.0,484.0,0.0,667920.0,667920.0,False,True,0
LOT 1,ACIER (POTEAUX RDC),,Acier (Poteaux RDC),,KG,0.0,297.6,0.0,410688.0,410688.0,False,True,0
LOT 1,ACIER (POUTRES RDC),,Acier (Poutres RDC),,KG,0.0,483.6,0.0,667368.0,667368.0,False,True,0
LOT 1,ACIER (VOILE ASCENSEUR),,Acier (Voile ascenseur),,KG,0.0,2628.0,0.0,3626640.0,3626640.0,False,True,0
LOT 1,AGGLOS CREUX 20X20X50,Agglos creux 20x20x50,Agglos creux 20x20x50,M2,M2,2250.54,1.0,25172290.0,11185.0,-25161105.0,True,True,0
LOT 1,AGGLOS PLEINS 20X20X50,Agglos pleins 20x20x50,Agglos pleins 20x20x50,M2,M2,78.98,78.98,961976.0,961976.4,0.4,True,True,0
LOT 1,BETON,Béton,,M3,,63.5,0.0,12012613.0,0.0,-12012613.0,True,False,0
LOT 1,BETON (DALLAGE SOL),,Béton (Dallage sol),,M3,0.0,33.2,0.0,6280610.0,6280610.0,False,True,0
LOT 1,BETON 350,Béton 350,,M3,,190.76,0.0,36087024.0,0.0,-36087024.0,True,False,0
LOT 1,BETON 350 (CHAINAGES RDC),,Béton 350 (Chainages RDC),,M3,0.0,5.31,0.0,1004519.25,1004519.25,False,True,0
LOT 1,BETON 350 (ESCALIER RDC),,Béton 350 (Escalier RDC),,M3,0.0,9.28,0.0,1755544.0,1755544.0,False,True,0
LOT 1,BETON 350 (MARCHES D'ACCES),,Béton 350 (Marches d'accès),,M3,0.0,1.0,0.0,189175.0,189175.0,False,True,0
LOT 1,BETON 350 (POUTRES RDC),,Béton 350 (Poutres RDC),,M3,0.0,3.72,0.0,703731.0,703731.0,False,True,0
LOT 1,BETON 350 (VOILE ASCENSEUR),,Béton 350 (Voile ascenseur),,M3,0.0,21.9,0.0,4142932.5,4142932.5,False,True,0
LOT 1,BETON 400,Béton 400,,M3,,20.78,0.0,3931057.0,0.0,-3931057.0,True,False,0
LOT 1,BETON 400 (LINTEAUX RDC),,Béton 400 (Linteaux RDC),,M3,0.0,4.74,0.0,896689.5,896689.5,False,True,0
LOT 1,BETON 400 (POTEAUX RDC),,Béton 400 (Poteaux RDC),,M3,0.0,2.48,0.0,469154.0,469154.0,False,True,0
LOT 1,BETON 400 HYDR,Béton 400 hydr,Béton 400 hydr,M3,M3,9.73,4.36,1840673.0,824803.0,-1015870.0,True,True,0
LOT 1,BETON 400 HYDR (AMORCES POTEAUX),,Béton 400 hydr (Amorces poteaux),,M3,0.0,1.65,0.0,312138.75,312138.75,False,True,0
LOT 1,BETON 400 HYDR (DALLAGE SOL - ANNEXE),,Béton 400 hydr (Dallage sol - Annexe),,M3,0.0,30.3,0.0,5732002.5,5732002.5,False,True,0
LOT 1,BETON 400 HYDR (LONGRINES),,Béton 400 hydr (Longrines),,M3,0.0,3.72,0.0,703731.0,703731.0,False,True,0
LOT 1,BETON DE PROPRETE,Béton de propreté,Béton de propreté,M3,M3,3.07,3.07,1039870.0,1039870.4,0.4,True,True,0
LOT 1,"BUREAU DE CHANTIER, ATELIER, BARAQUEMENT ET CLOTURE PROVISOIRE","Bureau de chantier, atelier, baraquement et clôture provisoire","Bureau de chantier, atelier, baraquement et clôture provisoire",ENS,FORFAIT,1.0,1.0,3758730.0,3758730.0,0.0,True,True,0
LOT 1,COFFRAGE,Coffrage,Coffrage,M2,M2,2174.79,15.84,12505044.0,91080.0,-12413964.0,True,True,0
LOT 1,COFFRAGE (AMORCES POTEAUX),,Coffrage (Amorces poteaux),,M2,0.0,26.4,0.0,151800.0,151800.0,False,True,0
LOT 1,COFFRAGE (CHAINAGES RDC),,Coffrage (Chainages RDC),,M2,0.0,79.63,0.0,457872.5,457872.5,False,True,0
LOT 1,COFFRAGE (DALLAGE SOL - ANNEXE),,Coffrage (Dallage sol - Annexe),,M2,0.0,10.8,0.0,62100.0,62100.0,False,True,0
LOT 1,COFFRAGE (DALLAGE SOL),,Coffrage (Dallage sol),,M2,0.0,66.8,0.0,384100.0,384100.0,False,True,0
LOT 1,COFFRAGE (ESCALIER RDC),,Coffrage (Escalier RDC),,M2,0.0,51.33,0.0,730477.23,730477.23,False,True,0
LOT 1,COFFRAGE (LINTEAUX RDC),,Coffrage (Linteaux RDC),,M2,0.0,71.1,0.0,408825.0,408825.0,False,True,0
LOT 1,COFFRAGE (LONGRINES),,Coffrage (Longrines),,M2,0.0,37.33,0.0,214647.5,214647.5,False,True,0
LOT 1,COFFRAGE (MARCHES D'ACCES),,Coffrage (Marches d'accès),,M2,0.0,1.0,0.0,5750.0,5750.0,False,True,0
LOT 1,COFFRAGE (POTEAUX RDC),,Coffrage (Poteaux RDC),,M2,0.0,39.6,0.0,227700.0,227700.0,False,True,0
LOT 1,COFFRAGE (POUTRES RDC),,Coffrage (Poutres RDC),,M2,0.0,46.46,0.0,267145.0,267145.0,False,True,0
LOT 1,COFFRAGE (VOILE ASCENSEUR),,Coffrage (Voile ascenseur),,M2,0.0,101.18,0.0,581785.0,581785.0,False,True,0
LOT 1,DECAPAGE DES CARREAUX SOL EXISTANTS EN RDC,Décapage des carreaux sol existants en RDC,Décapage des carreaux sol existants en RDC,M2,M2,460.0,460.0,0.0,2645000.0,2645000.0,True,True,1
LOT 1,DEMOLITION DES MURS ET L'ESCALIER (ETAGE 2),Démolition des murs et l'escalier (ÉTAGE 2),Démolition des murs et l'escalier (ÉTAGE 2),FF,FORFAIT,1.0,1.0,1725000.0,1725000.0,0.0,True,True,0
LOT 1,DEMOLITION DES MURS ET L'ESCALIER (RDC),Démolition des murs et l'escalier (RDC),Démolition des murs et l'escalier (RDC),FF,FORFAIT,1.0,1.0,1725000.0,1725000.0,0.0,True,True,0
LOT 1,DEMOLITION DES MURS ET L'ESCALIER Y COMPRIS LA DALLE EXISTENTE BATIMENT ANNEXE (ETAGE 1),Démolition des murs et l'escalier y compris la dalle existente bâtiment annexe (ÉTAGE 1),Démolition des murs et l'escalier y compris la dalle existente bâtiment annexe (ÉTAGE 1),FF,FORFAIT,1.0,1.0,2587500.0,2587500.0,0.0,True,True,0
LOT 1,"DIVERS (SECURITE, ASE, PANNEAU DE CHANTIER...)","Divers (sécurité, ASE, panneau de chantier…)","Divers (sécurité, ASE, panneau de chantier...)",ENS,FORFAIT,1.0,1.0,4945000.0,4945000.0,0.0,True,True,0
LOT 1,ENDUITS INTERIEURS ET EXTERIEURS SUR MURS,Enduits intérieurs et extérieurs sur murs,Enduits intérieurs et extérieurs sur murs,M2,M2,5375.14,1.0,20570662.0,3827.0,-20566835.0,True,True,0
LOT 1,ENDUITS SOUS PLAFOND,Enduits sous plafond,Enduits sous plafond,M2,M2,2006.0,1.0,7676962.0,3827.0,-7673135.0,True,True,0
LOT 1,ENSEMBLE DES AXES NECESSAIRES,Ensemble des axes necessaires,Ensemble des axes necessaires,ENS,FORFAIT,1.0,1.0,1265000.0,1265000.0,0.0,True,True,0
LOT 1,ETUDES TECHNIQUES ET ESSAIS,Études techniques et Essais,Études techniques et Essais,ENS,FORFAIT,1.0,1.0,4795500.0,4795500.0,0.0,True,True,0
LOT 1,EVACUATION DES GRAVATS HORS SITE,Évacuation des gravats hors site,Évacuation des gravats hors site,FF,FORFAIT,1.0,1.0,552000.0,552000.0,0.0,True,True,0
LOT 1,FINITION DES TABLEAUX,Finition des tableaux,Finition des tableaux,ENS,FORFAIT,3.0,1.0,8394851.0,2344172.0,-6050679.0,True,True,0
LOT 1,HOURDIS,Hourdis,,M2,,753.0,0.0,10715943.0,0.0,-10715943.0,True,False,0
LOT 1,"MATERIEL DE CHANTIER (ENGINS, MANUTENTION ETC)","Matériel de chantier (engins, manutention etc)","Matériel de chantier (engins, manutention etc)",ENS,FORFAIT,1.0,1.0,4213438.0,4213438.0,0.0,True,True,0
LOT 1,MOBILISATION,Mobilisation,Mobilisation,ENS,FORFAIT,1.0,1.0,4755250.0,4755250.0,0.0,True,True,0
LOT 1,RESERVATIONS ET CALFEUTREMENTS DIVERS,Réservations et calfeutrements divers,Réservations et calfeutrements divers,ENS,FORFAIT,3.0,1.0,2878450.0,1.0,-2878449.0,True,True,0
LOT 1,SCELLEMENTS ET RACCORDEMENTS,Scellements et raccordements,Scellements et raccordements,ENS,FORFAIT,3.0,1.0,5175000.0,1.0,-5174999.0,True,True,0
LOT 10,BOUCHE D'EXTRACTION DE TYPE ALIZE,,Bouche d'extraction de type Alizé,,FORFAIT,0.0,11.0,0.0,302450.0,302450.0,False,True,0
LOT 10,CABLAGE DES SYSTEME AU COMPLET ET ACCESSOIRES DIVERS,Câblage des système au complet et accessoires divers,,ENS,,1.0,0.0,575000.0,0.0,-575000.0,True,False,0
LOT 10,CAISSON DE VENTILATION MECANIQUE CONTROLEE,,Caisson de Ventilation Mécanique Contrôlée,,FORFAIT,0.0,2.0,0.0,977500.0,977500.0,False,True,0
LOT 10,CAMERA EXTERIEURE AVEC PROTECTION SUIVANT DESCRIPTIF,Caméra exterieure avec protection suivant descriptif,,U,,5.0,0.0,1361600.0,0.0,-1361600.0,True,False,0
LOT 10,CAMERA INTERIEURE FIXE TYPE DOME SUIVANT DESCRIPTIF,Caméra interieure fixe type dome suivant descriptif,,U,,10.0,0.0,2242500.0,0.0,-2242500.0,True,False,0
LOT 10,CANALISATION ALIMENTATION EN PER 13X16,,Canalisation alimentation en PER 13x16,,ML,0.0,150.0,0.0,517500.0,517500.0,False,True,0
LOT 10,CANALISATION ALIMENTATION EN PER 16X20,,Canalisation alimentation en PER 16x20,,ML,0.0,150.0,0.0,638250.0,638250.0,False,True,0
LOT 10,CANALISATION ALIMENTATION EN PER 20X25,,Canalisation alimentation en PER 20x25,,ML,0.0,60.0,0.0,289800.0,289800.0,False,True,0
LOT 10,CANALISATION ALIMENTATION EN PER 26X32,,Canalisation alimentation en PER 26x32,,ML,0.0,60.0,0.0,448500.0,448500.0,False,True,0
LOT 10,CANALISATION ALIMENTATION EN PVC D25,Canalisation alimentation en PVC D25,Canalisation alimentation en PVC D25,ML,ML,40.0,40.0,170200.0,170200.0,0.0,True,True,0
LOT 10,CANALISATION ALIMENTATION EN PVC D32,Canalisation alimentation en PVC D32,Canalisation alimentation en PVC D32,ML,ML,150.0,150.0,724500.0,724500.0,0.0,True,True,0
LOT 10,CANALISATION ALIMENTATION EN PVC D40,Canalisation alimentation en PVC D40,Canalisation alimentation en PVC D40,ML,ML,50.0,50.0,270250.0,270250.0,0.0,True,True,0
LOT 10,CANALISATION ALIMENTATION EN PVC D75,Canalisation alimentation en PVC D75,Canalisation alimentation en PVC D75,ML,ML,50.0,50.0,299000.0,299000.0,0.0,True,True,0
LOT 10,CANALISATION EVACUATION EN PVC D110,Canalisation évacuation en PVC D110,Canalisation évacuation en PVC D110,ML,ML,400.0,400.0,4489600.0,4489600.0,0.0,True,True,0
LOT 10,CANALISATION EVACUATION EN PVC D125,Canalisation évacuation en PVC D125,Canalisation évacuation en PVC D125,ML,ML,80.0,80.0,1113200.0,1113200.0,0.0,True,True,0
LOT 10,CANALISATION EVACUATION EN PVC D160,Canalisation évacuation en PVC D160,Canalisation évacuation en PVC D160,ML,ML,25.0,25.0,533175.0,533175.0,0.0,True,True,0
LOT 10,CANALISATION EVACUATION EN PVC D200,Canalisation évacuation en PVC D200,Canalisation évacuation en PVC D200,ML,ML,10.0,10.0,235750.0,235750.0,0.0,True,True,0
LOT 10,CANALISATION EVACUATION EN PVC D25 (CE),Canalisation évacuation en PVC D25 (CE),Canalisation évacuation en PVC D25 (CE),ML,ML,100.0,100.0,425500.0,425500.0,0.0,True,True,0
LOT 10,CANALISATION EVACUATION EN PVC D40,Canalisation évacuation en PVC D40,Canalisation évacuation en PVC D40,ML,ML,100.0,100.0,563500.0,563500.0,0.0,True,True,0
LOT 10,CANALISATION EVACUATION EN PVC D50,Canalisation évacuation en PVC D50,Canalisation évacuation en PVC D50,ML,ML,80.0,80.0,478400.0,478400.0,0.0,True,True,0
LOT 10,CANALISATION EVACUATION EN PVC D63,Canalisation évacuation en PVC D63,Canalisation évacuation en PVC D63,ML,ML,90.0,90.0,724500.0,724500.0,0.0,True,True,0
LOT 10,CANALISATION EVACUATION EN PVC D75,Canalisation évacuation en PVC D75,Canalisation évacuation en PVC D75,ML,ML,120.0,120.0,1145400.0,1145400.0,0.0,True,True,0
LOT 10,CHAUFFE EAU 100 LITRES,Chauffe eau 100 litres,Chauffe eau 100 litres,U,FORFAIT,2.0,2.0,632500.0,632500.0,0.0,True,True,0
LOT 10,CHAUFFE EAU 50 LITRES,Chauffe eau 50 litres,Chauffe eau 50 litres,U,FORFAIT,5.0,5.0,1006250.0,1006250.0,0.0,True,True,0
LOT 10,CHAUFFE EAU 75 LITRES,Chauffe eau 75 litres,Chauffe eau 75 litres,U,FORFAIT,5.0,5.0,1236250.0,1236250.0,0.0,True,True,0
LOT 10,COLLECTEURS A ROBINETTERIE INTEGREE (EF+EC),,Collecteurs à robinetterie intégrée (EF+EC),,FORFAIT,0.0,35.0,0.0,19271000.0,19271000.0,False,True,0
LOT 10,CONDUIT SPIRALE EN ACIER GALVANISE D125,,Conduit spiralé en acier galvanisé D125,,ML,0.0,50.0,0.0,718750.0,718750.0,False,True,0
LOT 10,CONDUIT SPIRALE EN ACIER GALVANISE D160,,Conduit spiralé en acier galvanisé D160,,ML,0.0,80.0,0.0,1564000.0,1564000.0,False,True,0
LOT 10,CONDUIT SPIRALE EN ACIER GALVANISE D200,,Conduit spiralé en acier galvanisé D200,,ML,0.0,30.0,0.0,876300.0,876300.0,False,True,0
LOT 10,"ENSEMBLE VANNE, COMPTEUR, CLAPET ANTI-",,"Ensemble vanne, compteur, clapet anti-",,FORFAIT,0.0,1.0,0.0,862500.0,862500.0,False,True,0
LOT 10,EVIER,Evier,Evier,U,FORFAIT,6.0,6.0,655500.0,655500.0,0.0,True,True,0
LOT 10,KIT CONTROLE D'ACCES PORTE,kit contrôle d'accès porte,,U,,10.0,0.0,2300000.0,0.0,-2300000.0,True,False,0
LOT 10,LAVABO OU VASQUE SIMPLE,Lavabo ou Vasque simple,Lavabo ou Vasque simple,U,FORFAIT,32.0,32.0,4048000.0,4048000.0,0.0,True,True,0
LOT 10,MONITEUR LCD SUIVANT DESCRITIF,Moniteur LCD suivant descritif,,U,,1.0,0.0,184000.0,0.0,-184000.0,True,False,0
LOT 10,RECEVEUR DE DOUCHE,Receveur de douche,Receveur de douche,U,FORFAIT,12.0,12.0,6210000.0,6210000.0,0.0,True,True,0
LOT 10,SERVEUR D'ENREGISTREMENT NVR SUIVANT DESCRIPTIF,Serveur d'enregistrement NVR suivant descriptif,,U,,1.0,0.0,1092500.0,0.0,-1092500.0,True,False,0
LOT 10,SIPHON DE SOL D63,,Siphon de sol D63,,FORFAIT,0.0,15.0,0.0,172500.0,172500.0,False,True,0
LOT 10,"STATION DE SURPRESSION AU COMPLET COMPRENANT LES 2 POMPES DE SURPRESSION SANITAIRE DE 27 M3/H - 35 MCE Y COMPRIS UNE VESSIE DE 300 LITRES, ACCESSOIRES DE RACCORDEMENT ET EQUIPEMENTS DE LA BACHE A EAU",,"Station de surpression au complet comprenant les 2 pompes de surpression sanitaire de 27 m3/h - 35 mCE y compris une vessie de 300 litres, accessoires de raccordement et équipements de la bâche à eau",,FORFAIT,0.0,1.0,0.0,1725000.0,1725000.0,False,True,0
LOT 10,TAMPON DE FERMETURE EN FONTE POUR FOSSES,,Tampon de fermeture en fonte pour fosses,,FORFAIT,0.0,5.0,0.0,2012500.0,2012500.0,False,True,0
LOT 10,WC A L'ANGLAISE,WC à l'anglaise,WC à l'anglaise,FF,FORFAIT,34.0,34.0,8993000.0,8993000.0,0.0,True,True,0
